names	groups	scores	logfc	pvals	pvals_adj
ENSG00000163521	2	1.691266	2.7853637	0.110485049645691	1699.37054860038
ENSG00000006194	2	1.6949421	3.9086812	0.110498165320848	1699.57228079996
ENSG00000187268	2	1.689409	2.9115732	0.11123269679823	1710.87010945357
ENSG00000023318	3	3.4138334	1.2924199	0.00231541364563869	35.6133772835687
ENSG00000116030	3	2.8420458	1.166965	0.00885059427571242	136.130990554733
ENSG00000211899	3	2.7880375	0.730215	0.0101458470267797	156.053273118899
ENSG00000092010	3	2.7370977	0.67734414	0.0134571508389093	206.984437053264
ENSG00000165178	3	2.6916602	0.57424194	0.0140728900514317	216.455121881072
ENSG00000089006	3	2.626878	1.1480451	0.0146752611880378	225.72019233321
ENSG00000284691	3	2.6323936	2.0699055	0.0149751964810993	230.333497075788
ENSG00000175756	3	2.592025	1.3155103	0.0154504652258466	237.643605638746
ENSG00000008869	3	2.5820959	1.1804684	0.0159438377433147	245.232168329924
ENSG00000125354	3	2.5903902	0.6767404	0.0165329973302612	254.294031936747
ENSG00000100353	3	2.5583782	1.1158365	0.0168596042503243	259.317572974238
ENSG00000161547	3	2.5717864	0.8664523	0.0170275378949273	261.900560361877
ENSG00000173933	3	2.5375051	1.0959846	0.0175188121279077	269.456849339348
ENSG00000061987	3	2.539841	1.6770418	0.0182185740417616	280.219887336335
ENSG00000124767	3	2.5083275	1.5464442	0.0193828478922676	298.127583430968
ENSG00000244045	3	2.529436	2.117763	0.0194260669974598	298.79233648793
ENSG00000068724	3	2.5194864	1.8674877	0.0196591019534588	302.37664714615
ENSG00000149182	3	2.4836774	1.5609787	0.0202191628359761	310.990943580148
ENSG00000178952	3	2.4616678	1.1658455	0.0207841775478248	319.681434863093
ENSG00000120686	3	2.4569104	1.0794485	0.0211967214130314	326.026772053835
ENSG00000135315	3	2.5737944	3.828893	0.022189367245133	341.29465759739
ENSG00000119041	3	2.479484	2.0273955	0.022393605697899	344.436049239384
ENSG00000113845	3	2.4143677	1.4877805	0.0231023509849683	355.337260499797
ENSG00000169564	3	2.409156	0.78391	0.0236274365481478	363.413601547061
ENSG00000177455	3	2.4187975	0.730382	0.0238978671687147	367.573094922001
ENSG00000109736	3	2.4154632	1.8345668	0.0239570541877163	368.483450461264
ENSG00000100596	3	2.441561	1.9688071	0.0241132162092186	370.885378513991
ENSG00000179918	3	2.4027615	1.9545959	0.0244852670460339	376.607892435047
ENSG00000147684	3	2.385917	1.1018201	0.0246299478848404	378.833228416731
ENSG00000183617	3	2.402754	1.8063014	0.0248847447271004	382.752258647531
ENSG00000184007	3	2.391755	1.430294	0.0250070388975558	384.633265283305
ENSG00000114650	3	2.3912258	1.699214	0.0254321000559069	391.171130959905
ENSG00000099783	3	2.3662076	1.2216014	0.0257056448061756	395.378522763788
ENSG00000120533	3	2.3739688	1.6494644	0.026053606659223	400.730524025509
ENSG00000186469	3	2.3598	1.3848609	0.0261523877992794	402.249876740717
ENSG00000182534	3	2.4238539	2.141692	0.0261572743446769	402.325036695475
ENSG00000171720	3	2.406887	2.190043	0.0262568162775435	403.856091164897
ENSG00000196873	3	2.3441753	1.1311958	0.0271008691238012	416.838467993186
ENSG00000151806	3	2.3840873	2.174765	0.0276141711757433	424.733566854108
ENSG00000126653	3	2.3347867	1.0865521	0.0277106411931413	426.217372191707
ENSG00000167461	3	2.3039157	1.1070493	0.0294943158602676	453.652072246775
ENSG00000163046	3	2.2990499	0.7743968	0.0303238852401688	466.411678879037
ENSG00000171603	3	2.2954922	1.9037757	0.0304528808702915	468.395760665954
ENSG00000128340	3	2.3395574	0.41440758	0.0304980516209903	469.090531982452
ENSG00000104660	3	2.3145576	1.7596668	0.0306136572656687	470.868662403251
ENSG00000157869	3	2.3358934	2.6669507	0.0309773417524563	476.46249349453
ENSG00000130856	3	2.3479211	2.755259	0.0309893578395367	476.647312929914
ENSG00000147168	3	2.3550196	0.5090183	0.0315456612967573	485.203816405423
ENSG00000165119	3	2.290318	0.6292432	0.0319088348083067	490.789788186566
ENSG00000150991	3	2.3186853	0.4162124	0.0328062948635094	504.593621295638
ENSG00000138964	4	2.630125	1.2740767	0.014205248843636	218.490932463965
ENSG00000174353	4	2.4619708	1.3242997	0.0212683328912539	327.128228200377
ENSG00000130511	4	2.3896143	3.077997	0.0286048514567223	439.971220255846
ENSG00000143643	4	2.2351835	1.9406432	0.0358561068529733	551.502779505582
ENSG00000285551	4	2.1758053	2.2887547	0.040574278869682	624.072983294579
ENSG00000182487	4	2.1484802	0.7675097	0.0412049004763911	633.772574227371
ENSG00000186431	4	2.1900098	2.608281	0.0432275876101317	664.883525031436
ENSG00000211898	4	2.1130784	0.8413238	0.0449241549579763	690.978427408634
ENSG00000053254	4	2.0940545	1.6371766	0.0484501486452455	745.211736312522
ENSG00000104921	4	2.0143197	0.85322	0.0548495140498569	843.64037560085
ENSG00000204852	4	2.0208983	1.6888847	0.0577895156121654	888.860539630715
ENSG00000105983	4	2.0069563	2.16796	0.0605036356217065	930.606419497468
ENSG00000128805	4	1.9856737	2.2512298	0.0627920050886859	965.803830269078
ENSG00000117748	4	1.9438957	1.0890126	0.0628072251411786	966.037929896468
ENSG00000166762	4	1.9547039	1.4957979	0.0636680698039828	979.278581655059
ENSG00000184110	4	1.9367217	0.93117577	0.0638065671728892	981.408809686208
ENSG00000143793	4	1.9405645	1.9787714	0.0658693250702067	1013.13608890485
ENSG00000244437	4	1.9536141	2.598423	0.0660283203099136	1015.58159468678
